lot,title,priority,photo_count,photo_review_status,source_photo_url,existing_photo_findings,market_research_status,required_next_checks,historical_unverified_low_usd,historical_unverified_high_usd,researched_low_usd,researched_high_usd,researched_max_hammer_usd
18140,"Lot including (1) Ridgid 36"", (1) 24"", and (1) Fuller 18"" pipe wrench.",High,6,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/dc370598b21c65f10d20/large,"Three substantial used pipe wrenches photographed with identifiable Ridgid 36-inch and 24-inch markings and smaller Fuller wrench. Heavy red paint loss, oxidation and worn-looking jaw teeth. Since only three are pictured, count teeth, straightness and adjuster action for each; already-owning similar wrenches can justify passing.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",110,280,,,
18141,"(1) approx. 16"", (1) Pipe Master 14"", (1) Ridgid 14"" (handle was broken and is welded), and (1) Till...",High,8,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/a40d5849d648b0e99504/large,"Four visibly used pipe wrenches of mixed sizes, including one long red/rusty wrench and shorter steel-handled examples. Surface corrosion and jaw wear visible; check adjustment and cracks before resale.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18142,"(1) Ridgid 36"" pipe wrench, (1) Ridgid 36"" (handle is broken to 12""), and (1) Ridgid 18"" pipe wrench...",High,6,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/8e5c9386bd35806fecd5/large,"Three pipe wrenches pictured, one long dark steel wrench and two shorter silver-colored wrenches, including RIDGID-marked examples. Jaw teeth and handles show use and oxidation; test adjusting nuts and inspect for cracks.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18152,"(1) Makita, model 9306, 120V, single phase, 4"" bench grinder, working condition unknown, unit is unt...",High,5,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/ddf77c401ee84fd98671/large,"Makita model 9306 double-wheel bench grinder; nameplate appears 300W with 6-inch/152 mm wheels. Dusty and aged with guards and tool rests pictured; inspect wheel cracks, arbor play, switch, electrical cord and vibration before use.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18173,"(1) DeWalt, model DCGG571, 20V, rechargeable, cordless grease gun with (2) battery chargers (batteri...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/911ea87ba926c5e3b797/large,"DeWalt grease gun, black case, chargers and Shell grease are visible. Catalog says no batteries; no powered-operation evidence in images, and condition is dusty.",Not researched,"Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",60,140,,,
18189,"Lot including (3) Matabo, 120V angle grinders, (1) Makita, model 9508BH, 4.5"" disc grinder (switch n...",High,7,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/aa786e68b380fca46263/large,Several visibly used Metabo angle grinders with worn disks/brush attachments and one blue Makita grinder without proper switch per catalog. Cases and rubber leads show grime and use; appearance does not verify bearings or electrical integrity. Count operational Metabo units before resale; treat Makita as parts until switch repaired.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",115,310,,,
18192,"Lot including (1) Milwaukee Sawzall with steel case, and (1) Milwaukee, Cat #5211, 120V grinder.",High,5,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/5a9789c7990dde74a3df/large,"Older Milwaukee corded Sawzall nestled in rusty red sheet-metal case with several packaged replacement blades and a separate Milwaukee straight grinder. Both show dirt and heavy finish wear. Test reciprocating stroke, chuck and grinding-wheel bearings, plus inspect original power cords.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",80,225,,,
18193,"(1) Milwaukee, Cat #1675-1, heavy duty hole hawg drill with steel case.",High,4,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/4cbbfea023c534dfc57a/large,"Milwaukee Hole Hawg, auxiliary handle and metal case appear together. Clearly used but no obvious missing handle; test chuck, low/high gearing, reverse and insulation.",Not researched,"Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",110,265,,,
18195,"(1) 3/8"" reversable, 120V electric drill with 3/8"" keyless chuck, (1) Makita, model 6013B, 15V, 13mm...",High,8,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/bccd9acc41d1a9302fc1/large,"Three corded drills pictured: two older Makita metal-housing drills and a Cornell 3/8-inch reversible drill (label 120V, 3.3A, 0–2700 RPM). Cords, chucks and trigger operation untested; check drill runout and forward/reverse before bidding.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18211,"Lot including (1) Milwaukee, Cat #2864-29, 3/4"" square ring, 18V rechargeable impact wrench, (1) Mil...",High,7,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/b506a8d78fda95bbd58b/large,"Two visibly used Milwaukee M18 power tools with two attached batteries, another pack/charger in the lot photos. Several case labels are abraded; test both under load and verify battery charge retention before trusting resale value.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",205,455,,,
18213,"Lot including (1) Snap-On, model CT561CL, 7.2V rechargeable screwdriver with charger, battery, and c...",High,5,Batch 05: all source photographs inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/ceee9c7b940e80304f3d/large,"Snap-On cordless impact and second cordless drill/driver with two chargers and multiple older battery packs pictured. Very dirty and battery generation may be obsolete; charge, test both tools under load and confirm pack retention before bidding.",Not researched,"Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",180,450,,,
18220,"(2) 38"" width x 14"" height x 9.5"" depth wood tool boxes, 1 with assorted trowels, 1 with various con...",High,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/f537e5a150e7d7e7837b/large,"Two long worn red metal toolboxes containing mixed masonry/metalworking hand tools including trowels, floats, files, clamps and miscellaneous pieces. Dust and corrosion visible; exact tools and toolbox structural condition uncertain.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18400,"(1) Snap-On 50.5"" width x 24"" height x 21.5"" depth 10-drawer tool cabinet with a 50"" width x 38"" hei...",High,23,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/8aabf24a2e0cdb1ea6cb/large,"Large red Snap-On stacked upper/lower/side cabinets show drawers opening smoothly in photographs and varied hand tools inside many drawers. Overall usable-looking with superficial wear, some empty sections and adhesive residues; count only auction-included contents and inspect drawer slides/locks.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",1250,3100,,,
18401,"Lot including (1) set of 3/8"" drive Snap-On swivel sockets, sizes 3/8"" up to 3/4"", (1) Snap-On appro...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/24711f81cc4bcc9f1ff7/large,"Black swivel-impact socket row and large specialty nut sockets are arranged in a single lot box; visually used but no obvious socket cracks at thumbnail resolution. Check Snap-On stamps, exact sizes and drive-square wear.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",145,290,,,
18402,"Set of Snap-On 1/4"" drive, 12 pt. sockets with ratchet with removable head, (1) set of Snap-On 1/4"" ...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/735b8d6f7afcaf9c272f/large,Several red Snap-On rails/cases with chrome shallow/deep sockets and a ratchet are photographed. Mixed pieces and case slots need a physical count; surface appearance broadly serviceable.,Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",190,410,,,
18403,"Lot of assorted 1/2"" drive Snap-On sockets, sizes range between 3/8"" drive and 1 1/8"" drive, and (1)...",High,5,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/202aac402f698ee49a7a/large,"Two orange socket holders contain a mix of larger half-inch and small quarter/three-eighth Snap-On sockets with several obvious empty slots. Sockets show dark used finish and the lot is explicitly incomplete. Physically verify drive sizes, stamping and cracked impact sockets before offering sets as complete.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",110,255,,,
18404,"Lot of Snap-On impact sockets, includes 3/8"" drive, sizes 5/16"" up to 1"", (1) set of Snap-On 1/2"" dr...",High,4,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/0792055abf5b26ff72ab/large,"Large set of impact sockets fills orange and black holders and a loose box. Neighboring lot labels appear in the background, so count only the clearly isolated 18404 groups; verify stamps and socket cracks.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",215,495,,,
18405,"Set of Snap-On 3/8"" drive sockets, sizes range between 1/4"" up to 7/8"", (1) set of Snap-On 3/8"" driv...",High,4,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/d27f370562dcf154e8aa/large,"Two visibly used but organized Snap-On chrome socket rails plus two ratchets and many deep sockets shown together. Most surfaces bright; compare exact advertised sizes, ratchet pawls and stamps before resale.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",180,430,,,
18406,"(2) sets of Snap-On deep impact sockets, both 3/8"" drive, 1 has sizes 17mm up to 27mm, 1 has sizes 9...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/ba41206670f3f667859f/large,"Two organized deep impact socket rows in red and black holders are visible, with used finish but no obvious catastrophic damage. Confirm advertised SAE/metric sets and individual missing sizes.",Not researched,"Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",180,395,,,
18407,"Lot of assorted Snap-On sockets with (4) holders, includes 1/2"" and 3/8"" drive sockets.",High,6,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/73654c12c5bb29627cdd/large,"Four red/blue loose socket rails are pictured with a substantial assortment of visibly worn Snap-On sockets, including some large double-hex pieces. Many holder slots are empty or unevenly populated, so sell by verified subsets rather than advertise four complete sets.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",160,360,,,
18408,"Lot including (1) set of Snap-On sockets (1/4"" drive, 3/8"" drive, and 1/2"" drive), 1/4"" sizes from 4...",High,8,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/b407d47a1d7c02f1545f/large,"Multiple chrome Snap-On socket rows, accessories and at least one clear full-size ratchet are visible, plus loose bits. Worth separating sets if reselling; inspect drive condition and avoid assuming every tool in adjacent display belongs to the lot.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",265,600,,,
18409,"(1) Snap-On swivel head 1/4"" drive ratchet, and (1) Snap-On swivel head 3/8"" drive ratchet.",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/6ba4e54f575609b35cfa/large,Two long and short green-grip swivel-head Snap-On ratchets are clearly photographed. Heads and grips look used; pawl engagement and swivel friction cannot be verified visually.,Not researched,"Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",85,205,,,
18410,"(1) Snap-On 1/4"" drive socket set with ratchet, 2"", 4"", and 6"" extension, 5"" swivel head breaker, sw...",High,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/33bdfdfc4c4a1bc79f66/large,"Red cased quarter-inch Snap-On kit appears largely populated with deep and shallow sockets, ratchet and extensions; confirm all molded case slots and smooth ratchet operation.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",155,325,,,
18411,"(1) Snap-On 1/2"" drive extension set with 1/2"" drive Snap-On ratchet.",High,7,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/3cb9aa58c13969133e25/large,"Two red extension trays hold multiple long and short chrome Snap-On half-inch extensions and a black-grip handled ratchet. Finish appears used but generally intact, with multiple visible empty recesses. Inspect ratchet pawls, extension locking detents and size totals.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",105,245,,,
18412,"Lot including (1) 1/2"" drive Snap-On ratchet with 8"" handle, (1) 1/2"" drive Snap-On ratchet with 12""...",High,7,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/7b30a3abc9893170e488/large,Two used long/short chrome Snap-On ratchets and long breaker bar are isolated in their box. Visible plating wear but no obvious gross deformation; check pawl and flexible joint movement.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",105,240,,,
18413,"(1) Snap-On 1/2"" drive ratchet with Snap-On 3/8"" drive swivel head angle handle ratchet.",High,6,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/a94a8bac6ae89867d95b/large,One conventional half-inch chrome Snap-On ratchet and one black-grip three-eighth flex-head bent-handle Snap-On ratchet are clearly isolated in a box. Heads show cosmetic wear; check the smaller flexible-joint pin and both drive-square detents.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",95,215,,,
18414,"(2) Snap-On 3/8"" drive extension sets with 3/8"" drive ratchet.",High,10,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/29115f792ff32da29452/large,"Two red organized trays contain numerous long and short three-eighth Snap-On extensions, wobble ends and one standard ratchet. Several molded recesses appear empty. Separate and count what belongs to each tray, then confirm the ratchet holds direction under load.",Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,290,,,
18415,"(1) lot of Snap-On hex head tool sockets (3/8"" drive, 1/2"" drive, and impact), (1) set of Snap-On To...",High,9,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/4aba3ca8e64bdeb0d40a/large,"A large mixed group of shiny and dark-used Allen/hex bits, Torx bit sockets and assorted large hex tools is pictured with some MAC-labeled holder and mixed stamped bars. Branding is not uniform despite catalog's Snap-On emphasis. Inspect tips for rounding and verify genuine Snap-On items individually.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",175,395,,,
18416,"Lot of Snap-On 1/2"" and 3/8"" drive crow foot wrench heads.",High,10,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/30eacb4fae6e6b64c9b4/large,A considerable assortment of big loose Snap-On crowfoot heads plus a smaller size-organized row is pictured. Most are dull or scuffed but multiple stamped Snap-On labels and drive holes are visible. Count actual matching fractional sizes; larger individual heads may sell separately but several appear duplicated.,Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,305,,,
18417,"Set of Snap-On wrenches, size 9/32"" up to 3/4"", (1) set of Snap-On stubby wrenches, sizes 7/16"", 1/2...",High,6,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/de68a161b9a8cd25651d/large,"Multiple Snap-On combination wrench groups and stubby/metric small wrenches in metal rack, with some bright and some worn chrome. Advertised size spans need physical inventory and checking for rounded open-end jaws.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",215,475,,,
18418,"Lot of 3/8"" and 1/2"" drive Snap-On tube sockets, set of Snap-On 3/8"" drive crow foot sockets, sizes ...",High,7,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/2376ff412ea29a219231/large,"Flare-nut-style tube sockets, a row of crowsfoot heads and several chrome flare wrenches fill the lot box. Visible surface plating wear but no gross cracks evident at contact-sheet resolution. Verify drive dimensions and whether the larger specialty pieces form useful matching sets.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",155,345,,,
