"lot","internal_id","title","description","category","snapshot_bid_usd","photo_count","close_utc","indicative_resale_low_usd","indicative_resale_high_usd","conditional_max_hammer_usd","risk_flags","review_note","review_status","first_photo_url","photo_review_status","photo_findings","photo_review_sheet","historical_unverified_resale_low_usd","historical_unverified_resale_high_usd","historical_unverified_max_hammer_usd","market_research_status","market_evidence_urls","market_research_notes","market_research_date_utc","priority"
"18109","1705109","(1) 32"" width x 57"" height x 19"" depth, 2-sided rolling display rack with contents, including variou...","(1) 32"" width x 57"" height x 19"" depth, 2-sided rolling display rack with contents, including various equipment tires, automotive fluids, WD-40, Fast/Medium reducer, and miscellaneous other items, all items are partial/used.","Tires and wheels","5","9","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/07c3334544819c9dbe2e/large","Inspected (contact sheet)","Two-sided wheeled retail/service display loaded with mixed small automotive parts, hoses, tins and boxed items. Mixed dusty stock; confirm whether every shelf item is included and inventory resaleable part numbers.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18110","1705110","(1) Blue Point 30"" width x 32"" height x 16"" depth, 2-tier steel shop cart, and (1) Blue Point 30"" le...","(1) Blue Point 30"" width x 32"" height x 16"" depth, 2-tier steel shop cart, and (1) Blue Point 30"" length x 33"" height x 16"" depth tool cart with built in tool box, and 15"" side tray.","Branded hand and power tools","5","9","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Both Blue Point shop carts are present: an open two-tier cart and a four-drawer rolling unit with fold-out tray. Trays and lower compartments show grime, chipped paint and surface oxidation. Photograph contents may belong to other lots; test drawers, locks and casters.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/67e94e19779bbc513582/large","Batch 02: all catalog images reviewed","Both Blue Point shop carts are present: an open two-tier cart and a four-drawer rolling unit with fold-out tray. Trays and lower compartments show grime, chipped paint and surface oxidation. Photograph contents may belong to other lots; test drawers, locks and casters.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","175","440","75","Not researched","","","","High"
"18111","1705111","(1) skid of assorted pump hose.","(1) skid of assorted pump hose.","Power and hydraulics","5","6","2026-09-29T22:00:00Z","","","","","Function, leaks, motor condition and parts availability not independently verified.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/63af03de33deee26861e/large","Inspected (contact sheet)","Pallet of coiled white, blue and black lay-flat or pump hoses in multiple diameters. Dirty, loosely wound and unlabeled; measure lengths and inspect cracks, couplings and pressure rating.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18112","1705112","(1) Gorman-Rupp portable centrifugal pump with a Wisconsin, model AENLD, gas engine, S/N 5076635, wo...","(1) Gorman-Rupp portable centrifugal pump with a Wisconsin, model AENLD, gas engine, S/N 5076635, working condition unknown.","Power and hydraulics","5","7","2026-09-29T22:00:00Z","","","","Function unverified","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Old Gorman-Rupp portable centrifugal pump on a two-wheel dolly with blue Wisconsin AENLD gas engine, prominent oxidation on pump fittings, dusty air cleaner and aged exhaust. Inlet/outlet and pull-start assembly are present. Catalog explicitly says working condition unknown; cold-start, impeller, priming and seal leaks must be checked.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/f323d3f12d9d4cf06be8/large","Batch 04: visually inspected","Old Gorman-Rupp portable centrifugal pump on a two-wheel dolly with blue Wisconsin AENLD gas engine, prominent oxidation on pump fittings, dusty air cleaner and aged exhaust. Inlet/outlet and pull-start assembly are present. Catalog explicitly says working condition unknown; cold-start, impeller, priming and seal leaks must be checked.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","145","380","48","Not researched","","","","Low"
"18113","1705113","(1) Homelite portable trash pump with a make and model unknown gas engine, engine is seized, does no...","(1) Homelite portable trash pump with a make and model unknown gas engine, engine is seized, does not pull through.","Power and hydraulics","5","6","2026-09-29T22:00:00Z","","","","Incomplete/defective per catalog","Function, leaks, motor condition and parts availability not independently verified.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/bcca1276c4f2a1b76f8a/large","Inspected (contact sheet)","Homelite portable trash pump with small gasoline engine, rust and grime on engine/pump. Catalog states engine seized and inoperative; parts/core only unless repair is demonstrated.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18114","1705114","(1) Hobart, model 6-261, portable, tow-behind generator (250 amp, 40V), HP illegible, S/N 120W-45251...","(1) Hobart, model 6-261, portable, tow-behind generator (250 amp, 40V), HP illegible, S/N 120W-45251, working condition unknown, equipped with a 4-cylinder gas engine, size 6.50-16 tires, pintle style hitch, and approx. 20' of ground cable, tool box mounted to front of fame, and includes additional 17"" width x 16"" height x 12"" depth rolling steel caddy with single shelf.","Tires and wheels","5","13","2026-09-29T22:00:00Z","","","","Function unverified","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Large older Hobart 250-amp towable welding generator on a heavy homemade-looking chassis with four-cylinder gas engine, pintle hitch, toolbox and large cable loops. Controls, generator badge and engine are visible, but all surfaces heavily dusty and rusty; tire age and trailer registration unknown. Do not bid beyond parts-level without cold start, measured output, sound weld test and transport arrangements.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/45254336113cb53992b3/large","Batch 04: visually inspected","Large older Hobart 250-amp towable welding generator on a heavy homemade-looking chassis with four-cylinder gas engine, pintle hitch, toolbox and large cable loops. Controls, generator badge and engine are visible, but all surfaces heavily dusty and rusty; tire age and trailer registration unknown. Do not bid beyond parts-level without cold start, measured output, sound weld test and transport arrangements.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","500","1450","115","Not researched","","","","High"
"18115","1705115","(1) gas powered 20"" x 16"" compactor with a Honda GX140, 5 HP gas engine, engine pulls through and ha...","(1) gas powered 20"" x 16"" compactor with a Honda GX140, 5 HP gas engine, engine pulls through and has compression.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Dusty Honda GX140 motor mounted to a circular compactor/base; paint is heavily worn. A large separate object alongside it is not necessarily included. Pull-through/compression alone does not establish compaction function; test eccentric and clutch.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/61f5d58e192ea7e82abe/large","Batch 02: all catalog images reviewed","Dusty Honda GX140 motor mounted to a circular compactor/base; paint is heavily worn. A large separate object alongside it is not necessarily included. Pull-through/compression alone does not establish compaction function; test eccentric and clutch.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","130","330","40","Not researched","","","","High"
"18116","1705116","(1) 20"" x 16"" gas powered compactor with a 212cc Predator gas engine, engine pulls through and has c...","(1) 20"" x 16"" gas powered compactor with a 212cc Predator gas engine, engine pulls through and has compression.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Predator-powered plate compactor with attached handle appears reasonably complete but dusty and used. Check engine cold start, exciter/vibration, handle attachment and plate flatness.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/0eb562583d9513d6fb9c/large","Batch 02: all catalog images reviewed","Predator-powered plate compactor with attached handle appears reasonably complete but dusty and used. Check engine cold start, exciter/vibration, handle attachment and plate flatness.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","140","310","40","Not researched","","","","Low"
"18117","1705117","(1) Stone, model 938, 20"" x 16"" gas powered compactor with a 212cc Predator gas engine, engine pulls...","(1) Stone, model 938, 20"" x 16"" gas powered compactor with a 212cc Predator gas engine, engine pulls through and has compression.","General industrial surplus","5","8","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Stone-branded plate chassis and fitted black Predator motor shown with prominent dirt and surface oxidation. Test eccentric bearings, clutch and running vibration; old plate may need repair despite newer engine.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/634a5a14d6059378b0b9/large","Batch 02: all catalog images reviewed","Stone-branded plate chassis and fitted black Predator motor shown with prominent dirt and surface oxidation. Test eccentric bearings, clutch and running vibration; old plate may need repair despite newer engine.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","175","370","50","Not researched","","","","Low"
"18118","1705118","(1) Ramco Shop Hand 5000, 5000 lb. capacity engine hoist with extendable arm, and RM8000 long ram ja...","(1) Ramco Shop Hand 5000, 5000 lb. capacity engine hoist with extendable arm, and RM8000 long ram jack.","Rigging and towing","5","7","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Ramco Shop Hand 5000 frame and red long-ram jack are present. Paint and chain show wear, but no major frame bend is apparent in reduced-size photos. Test hydraulic hold, hooks, frame welds and caster movement.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/6df141850ebf2aa14f85/large","40-lot verified batch 01: contact sheet reviewed","Ramco Shop Hand 5000 frame and red long-ram jack are present. Paint and chain show wear, but no major frame bend is apparent in reduced-size photos. Test hydraulic hold, hooks, frame welds and caster movement.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","170","365","60","Not researched","","","","High"
"18119","1705119","(1) Ramco, model RS-90P, metal cutting band saw with approx. 16"" x 10"" cut area, S/N 12386, equipped...","(1) Ramco, model RS-90P, metal cutting band saw with approx. 16"" x 10"" cut area, S/N 12386, equipped with chip tray, 1 HP, 115/208/230V electric motor, working condition unknown, includes an adjustable height steel material stand.","Bulk materials and racking","5","10","2026-09-29T22:00:00Z","","","","Function unverified","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Ramco RS-90P bandsaw and separate height-adjustable stock stand pictured, with Baldor single-phase-capable nameplate and spare Goodyear belt in the machine. Dirty chip tray and working condition unverified; inspect blade guides, vise, gearbox and straight cut under power.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/5f4aecd1ea6d1013be6e/large","Batch 02: all catalog images reviewed","Ramco RS-90P bandsaw and separate height-adjustable stock stand pictured, with Baldor single-phase-capable nameplate and spare Goodyear belt in the machine. Dirty chip tray and working condition unverified; inspect blade guides, vise, gearbox and straight cut under power.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","290","650","90","Not researched","","","","Medium"
"18120","1705120","Large lot of assorted extension cords, work lights, and surge strips.","Large lot of assorted extension cords, work lights, and surge strips.","General industrial surplus","5","3","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Tangled heap of assorted extension cords, small work lights and outlet strips is pictured, with no demonstration of any functioning outlet. Some connectors and jackets are obscured in the pile. Electrical safety inspection and hours of untangling materially reduce resale attractiveness.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/69a320fcfe333dfae853/large","Batch 03: contact sheet visually reviewed","Tangled heap of assorted extension cords, small work lights and outlet strips is pictured, with no demonstration of any functioning outlet. Some connectors and jackets are obscured in the pile. Electrical safety inspection and hours of untangling materially reduce resale attractiveness.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","20","70","9","Not researched","","","","Low"
"18121","1705121","(1) 22"" width x 35"" height x 18"" depth heavy duty steel cart with contents, including (1) hydraulic ...","(1) 22"" width x 35"" height x 18"" depth heavy duty steel cart with contents, including (1) hydraulic Ram equipment, and (1) small tool box with hydraulic hoses and gauges.","Power and hydraulics","5","7","2026-09-29T22:00:00Z","","","","Removal/loading","Function, leaks, motor condition and parts availability not independently verified.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/bfd72c56ccf8d6b2a940/large","Inspected (contact sheet)","Mixed industrial hydraulic cylinders/jacks, ram fittings, hoses and gauges on metal shelving/cart; several Enerpac-style blue/yellow components visible but individual brands unconfirmed. Unknown pressure ratings, leaks, seals and completeness; require model identification and pressure-safe testing.","Temporary GitHub Actions artifact; visual-review-batch-06-partial.md","","","","Not researched","","","","Medium"
"18122","1705122","(1) 22"" width x 34"" height x 30"" depth steel tool box with assorted hand tools, includes adjustable ...","(1) 22"" width x 34"" height x 30"" depth steel tool box with assorted hand tools, includes adjustable crescent wrenches, Allen wrenches, combination wrenches, sockets, ratchets, breaker bars, and miscellaneous other tools, (1) 30"" length x 30"" height x 16"" depth, 2-tier steel cart with a milk crate of assorted hand tools, including vise grips, hammers, ratchets, and misc. other tools, and (1) small tool caddy seat with metal base.","Bulk materials and racking","5","8","2026-09-29T22:00:00Z","","","","","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/92f2f49ae39079b5871f/large","Inspected (contact sheet)","Used metal multi-drawer mechanics tool chest/cabinet containing mixed large wrenches, sockets, pry bars, hammers and miscellaneous tools; red stand with fluid bottle and separate crate also pictured. Cabinet finish worn; verify lot boundaries, drawer slides and individual tool brands before assigning resale.","Temporary GitHub Actions artifact; visual-review-batch-06-partial.md","","","","Not researched","","","","High"
"18123","1705123","(1) Miller, model AED-200LE, constant current AC/DC arc welder/generator, S/N JH202466 (120/240V-5 K...","(1) Miller, model AED-200LE, constant current AC/DC arc welder/generator, S/N JH202466 (120/240V-5 KVA power output), includes cart, equipped with an Onan, model 548M-GA018/4381, gas engine, working condition unknown, untested.","Welding and gas","5","10","2026-09-29T22:00:00Z","","","","Function unverified","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Miller AEAD-200LE engine-driven welder is visibly dusty but appears to have heavy electrode cables and its Onan motor. No evidence of running or welding output; test Onan cold start, 120/240V and AC/DC weld current before more than a speculative bid.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/cd76125f5a383defb445/large","Batch 02: all catalog images reviewed","Miller AEAD-200LE engine-driven welder is visibly dusty but appears to have heavy electrode cables and its Onan motor. No evidence of running or welding output; test Onan cold start, 120/240V and AC/DC weld current before more than a speculative bid.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","320","760","110","Not researched","","","","High"
"18124","1705124","(1) Miller, Millermatic 300, 3 phase MIG welder power source with Tweco MIG gun (no tank).","(1) Miller, Millermatic 300, 3 phase MIG welder power source with Tweco MIG gun (no tank).","Welding and gas","5","6","2026-09-29T22:00:00Z","","","","Industrial power; Fluids/storage","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Blue Miller Millermatic 300 power source with Tweco MIG hose and cart appears generally assembled but dusty, with worn faceplate and no illuminated test. Nameplate explicitly marks three-phase input; tank is absent per catalog and this is not plug-and-play for a typical home garage. Inspect input taps, wire feed and gun lining; 3-phase greatly limits casual resale.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/3c5abad3d85675fd6bb0/large","Batch 04: visually inspected","Blue Miller Millermatic 300 power source with Tweco MIG hose and cart appears generally assembled but dusty, with worn faceplate and no illuminated test. Nameplate explicitly marks three-phase input; tank is absent per catalog and this is not plug-and-play for a typical home garage. Inspect input taps, wire feed and gun lining; 3-phase greatly limits casual resale.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","130","360","45","Not researched","","Model-specific market checks: high-priority-market-checkpoint-2026-09-25.md","","High"
"18125","1705125","(1) Lincoln Ideal Arc 250 arc welder, 230-460V input, S/N AC390125, working condition unknown, inclu...","(1) Lincoln Ideal Arc 250 arc welder, 230-460V input, S/N AC390125, working condition unknown, includes leads and gun.","Welding and gas","5","8","2026-09-29T22:00:00Z","","","","Function unverified; Industrial power","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Heavy red Lincoln Idealarc 250 transformer stick welder on caster base includes long leads and electrode holder. Photos reveal aged, rubbed cables and dirty front control but no glaring enclosure break. Check nameplate/input configuration, correct voltage, insulation and measured weld output before personal use or resale.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/212ff48ddb96b7b852cb/large","Batch 04: visually inspected","Heavy red Lincoln Idealarc 250 transformer stick welder on caster base includes long leads and electrode holder. Photos reveal aged, rubbed cables and dirty front control but no glaring enclosure break. Check nameplate/input configuration, correct voltage, insulation and measured weld output before personal use or resale.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","170","430","60","Not researched","","","","High"
"18126","1705126","(1) make and model unknown portable engine hoist with a RM8000 long Ram jack, and extendable hoist.","(1) make and model unknown portable engine hoist with a RM8000 long Ram jack, and extendable hoist.","Rigging and towing","5","7","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Portable red/blue folding engine hoist with extendable telescoping boom, four-wheeled legs and RM8000 long-ram jack looks complete; visible chains/hook have wear. Check welds, boom holes/pins, jack hydraulic holding pressure and caster play; visually assembled is not proof of 8000-pound lifting capacity.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/407385c6985e3739a320/large","Batch 04: visually inspected","Portable red/blue folding engine hoist with extendable telescoping boom, four-wheeled legs and RM8000 long-ram jack looks complete; visible chains/hook have wear. Check welds, boom holes/pins, jack hydraulic holding pressure and caster play; visually assembled is not proof of 8000-pound lifting capacity.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","150","390","62","Not researched","","","","High"
"18127","1705127","(1) oxygen/acetylene torch cart set up with approx. 20' of hose, built-in tool box, approx. 16"" diam...","(1) oxygen/acetylene torch cart set up with approx. 20' of hose, built-in tool box, approx. 16"" diameter wheels, does NOT include acetylene tank, only oxygen tank.","Tires and wheels","5","3","2026-09-29T22:00:00Z","","","","Incomplete/defective per catalog; Fluids/storage","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Green tall cylinder and a silver vessel/holder appear on the cart with gauges and hoses. Catalog states oxygen cylinder only; verify identity and legal ownership of every vessel and pressure-test regulators and old hoses.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/e92d4897cb04bb3d269c/large","40-lot verified batch 01: contact sheet reviewed","Green tall cylinder and a silver vessel/holder appear on the cart with gauges and hoses. Catalog states oxygen cylinder only; verify identity and legal ownership of every vessel and pressure-test regulators and old hoses.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","75","200","20","Not researched","","","","High"
