lot,item_number,internal_id,current_bid,bid_count,photo_count,status,live_status,end_time,end_time_utc,offer_end_time,offer_end_time_utc,title
9947,1-9947,1738269,40,8,8,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Netafim Irrigation System, (2) 96' lines with valves, includes drops, irrigation line is 1 year ..."
9948,1-9948,1738270,115,25,4,2,0,1790122713,2026-09-23T00:18:33Z,,,"Lot of (2) Schaefer 12"" greenhouse fans with mounting bracket, 1/10th HP, 115V, in working condition..."
9949,1-9949,1738271,56,11,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of (2) Green-Tek greenhouse fans, approx. 20"" diameter with a 1/10th HP motor, 120V, includes mo..."
9950,1-9950,1738272,30,7,4,2,0,1790121990,2026-09-23T00:06:30Z,,,"Lot of (2) Emerson, hanging chain, approx. 18"" greenhouse fans, 1/15"" HP, 120V, in working condition..."
9951,1-9951,1738273,45,9,5,2,0,1790121963,2026-09-23T00:06:03Z,,,"Lot of (3) Emerson, hanging chain, approx. 18"" greenhouse fans, 1/15"" HP, 120V, in working condition..."
9952,1-9952,1738274,35,7,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of (2) Green-Tek greenhouse fans, approx. 20"" diameter with a 1/10th HP motor, 120V, in working ..."
9953,1-9953,1738275,80,18,6,2,0,1790122715,2026-09-23T00:18:35Z,,,"Lot of (2) Green-Tek greenhouse fans, approx. 20"" diameter with a 1/10th HP motor, 120V, in working ..."
9954,1-9954,1738276,78,13,8,2,0,1790121883,2026-09-23T00:04:43Z,,,"Lot of (4) Green-Tek greenhouse fans, approx. 20"" diameter with a 1/10th HP motor, 120V, in working ..."
9955,1-9955,1738277,15,3,10,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Fasco 18"" hanging greenhouse fan, 1/15th HP, (1) Emerson 18"" hanging greenhouse fan, 1/15th HP, ..."
9956,1-9956,1738278,5,1,8,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Fasco hanging greenhouse fan, approx. 18"", 115V, 1/15th HP, and (1) Ves 18"" fan with mounting br..."
9957,1-9957,1738279,55,8,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of (3) Rainbird SST-600i, irrigation controllers, in working condition."
9958,1-9958,1738280,60,13,4,2,0,1790121715,2026-09-23T00:01:55Z,,,"(1) Dayton 24"" shutter-mounted exhaust fan, model 4C269B, 115V, 1/4 HP motor, in working condition."
9959,1-9959,1738281,78,13,5,2,0,1790121819,2026-09-23T00:03:39Z,,,"(1) Dayton 24"" shutter-mounted exhaust fan, model 4C359A, 120V, 1/3 HP motor, in working condition."
9960,1-9960,1738282,50,7,6,2,0,1790122070,2026-09-23T00:07:50Z,,,"(1) Econo Popper Plug Manual plug extrusion tool, plate is 20 3/4"" x 11""."
9961,1-9961,1738283,5,1,4,2,0,1790121600,2026-09-23T00:00:00Z,,,(1) Sensaphone 1000 desktop environmental monitoring system with temperature probes.
9962,1-9962,1738284,15,3,4,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) EC Geiger Mista Matic propagation, 120V, in working condition."
9963,1-9963,1738285,5,0,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of (2) galvanized steel funnels, 15"" diameter."
9964,1-9964,1738286,376,28,11,2,0,1790122719,2026-09-23T00:18:39Z,,,"(1) Siebring Manufacturing Company Mist'r Drench, model MD83, S/N C993374, 3 gallons per minute, 120..."
9965,1-9965,1738287,80,16,8,2,0,1790123605,2026-09-23T00:33:25Z,,,"(1) Dyna Fog Night Star pedestal fan, model 1901M, 115V, fan is in working condition, formulation co..."
9966,1-9966,1738288,15,3,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"(3) crates with assorted steel hooks, size approx. 6.5"" up to 18""."
9967,1-9967,1738289,5,0,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of assorted flexible natural gas line with pressure relieve valves, includes flexible duct work."
9968,1-9968,1738290,75,14,5,2,0,1790122126,2026-09-23T00:08:46Z,,,"(1) 1995 Woods RB51, 60"" back blade, 3 pt. hitch hook up, blade is bent, will need to be fixed or re..."
9969,1-9969,1738291,311,34,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) ADP 400,000 BTU natural gas heating unit, in working condition."
9970,1-9970,1738292,985,51,5,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Modine 400,000 BTU natural gas heating unit, in working condition."
9971,1-9971,1738293,800,51,7,2,0,1790121844,2026-09-23T00:04:04Z,,,"(1) Dayton 150,000 to 300,000 BTU natural gas heating unit, unit is new old stock, never was used."
9972,1-9972,1738294,236,36,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) ADP 400,000 BTU natural gas heating unit, in working condition."
9973,1-9973,1738295,45,7,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Natural gas heating unit, unknown BTU, 20.5"" wide x approx. 34"" deep x 32"" tall."
9974,1-9974,1738296,876,51,7,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Modine 350,000 BTU natural gas heating unit, in working condition."
9975,1-9975,1738297,950,44,8,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Modine 400,000 BTU natural gas heating unit, in working condition."
9976,1-9976,1738298,710,38,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"(1) Re-Verber Air 250,000 BTU natural gas heating unit, in working condition."
9977,1-9977,1738299,10,2,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"(7) rolling racks, approx. 91.5"" long x 14"" wide x 62"" tall, some wheels will need replacement or re..."
9978,1-9978,1738300,111,24,6,2,0,1790121600,2026-09-23T00:00:00Z,,,"Lot of (5) adjustable shelf racks, each is 43.5"" x 44"" x 83.5"" tall, winning bidder responsible for ..."
9979,1-9979,1738301,9050,63,14,2,0,1790124340,2026-09-23T00:45:40Z,,,"(1) 70' x 144' single gutter greenhouse, roof poly was replaced 1 year ago, manual crank up side wal..."
9980,1-9980,1738302,2050,33,9,2,0,1790125065,2026-09-23T00:57:45Z,,,"(1) 16' x 96' greenhouse, 1 roll up side, plastic will need to be replaced, winning bidder responsib..."
9981,1-9981,1738303,2401,14,9,2,0,1790122483,2026-09-23T00:14:43Z,,,"(1) 30' wide x 96' long greenhouse, manual aluminum roll up side, and 1 manual steel roll up side, w..."
9982,1-9982,1738304,5050,53,10,2,0,1790126145,2026-09-23T01:15:45Z,,,"(1) 30' wide x 96' long greenhouse, with 1 manual aluminum roll up side, and 1 manual steel roll up ..."
9983,1-9983,1738305,5350,25,21,2,0,1790123472,2026-09-23T00:31:12Z,,,"(1) 100' wide x 132' long 4-gutter greenhouse, 2 manual aluminum roll up sides, (3) 32"" exhaust fans..."
9984,1-9984,1738306,6500,80,11,1,0,1790128863,2026-09-23T02:01:03Z,,,"(1) 30' wide x 132' long greenhouse with a W Truss, manual steel roll up sides."
9985,1-9985,1738307,5650,47,8,2,0,1790127853,2026-09-23T01:44:13Z,,,"(1) 30' wide x 106' long greenhouse, no end wall on north wall of greenhouse, manual steel roll up s..."
